expressionID,operandID,arg1,arg2,expressionValue,description,expressionName,expressionTypeID,expressionGroupID,expressionAttributeID
1,24,None,None,Self,Index of affecting module  in environment,CurrentSelf,None,None,None
3,24,None,None,Char,Index of affecting character in environment,CurrentChar,None,None,None
4,24,None,None,Ship,Index of affecting ship in environment,CurrentShip,None,None,None
5,21,None,None,PreMul,Pre-multiplying association,PreMul,None,None,None
6,21,None,None,PreDiv,Pre-dividing association,PreDiv,None,None,None
7,21,None,None,ModAdd,Addition association,ModAdd,None,None,None
8,21,None,None,ModSub,Subtraction association,ModSub,None,None,None
10,21,None,None,PostMul,Post-multiplying association,PostMul,None,None,None
11,21,None,None,PostDiv,Post-dividing association,PostDiv,None,None,None
12,22,None,None,None,powerOutput of given ship,powerOutput,None,None,11
14,35,4,12,None,value of ship.powerOutput,CurrentShip.powerOutput(),None,None,None
15,12,1,25,None,attribute: module.power,CurrentSelf->power,None,None,None
17,35,1,25,None,value of module.power,CurrentSelf.power(),None,None,None
18,38,14,17,None,is ship.powerOutput > module.power ?,CurrentShip.powerOutput()> CurrentSelf.power(),None,None,None
25,22,None,None,None,powerneed of module,power,None,None,30
26,24,None,None,Target,Index of target in environment,CurrentTarget,None,None,None
27,24,None,None,Area,Index of area in environment,CurrentArea,None,None,None
34,26,None,None,PowerCore,power module of given ship,PowerCore,None,None,None
35,37,4,34,None,power core,CurrentShip.PowerCore,None,None,None
36,22,None,None,None,,powerLoad,None,None,15
37,12,4,36,None,,CurrentShip->powerLoad,None,None,None
38,31,7,37,None,,(CurrentShip->powerLoad).(ModAdd),None,None,None
39,6,38,25,None,,((CurrentShip->powerLoad).(ModAdd)).AddItemModifier (power),None,None,None
40,35,4,36,None,,CurrentShip.powerLoad(),None,None,None
45,58,38,25,None,,((CurrentShip->powerLoad).(ModAdd)).RemoveItemModifier (power),None,None,None
46,22,None,None,None,,capacitorNeed,None,None,6
47,22,None,None,None,,charge,None,None,18
50,12,1,47,None,,CurrentSelf->charge,None,None,None
51,42,50,46,None,,CurrentSelf->charge+=self.capacitorNeed,None,None,None
54,35,4,47,None,,CurrentShip.charge(),None,None,None
55,35,1,46,None,,CurrentSelf.capacitorNeed(),None,None,None
56,38,54,55,None,,CurrentShip.charge()> CurrentSelf.capacitorNeed(),None,None,None
59,27,None,None,0,,Int(0),None,None,None
61,22,None,None,None,,lowSlots,None,None,12
62,35,1,61,None,,CurrentSelf.lowSlots(),None,None,None
64,12,4,61,None,,CurrentShip->lowSlots,None,None,None
65,31,8,64,None,,(CurrentShip->lowSlots).(ModSub),None,None,None
66,6,65,61,None,,((CurrentShip->lowSlots).(ModSub)).AddItemModifier (lowSlots),None,None,None
69,22,None,None,None,,hiSlots,None,None,14
70,35,1,69,None,,CurrentSelf.hiSlots(),None,None,None
71,35,4,69,None,,CurrentShip.hiSlots(),None,None,None
72,39,71,70,None,,CurrentShip.hiSlots()>=CurrentSelf.hiSlots(),None,None,None
73,22,None,None,None,,medSlots,None,None,13
74,35,4,73,None,,CurrentShip.medSlots(),None,None,None
75,35,1,73,None,,CurrentSelf.medSlots(),None,None,None
76,39,74,75,None,,CurrentShip.medSlots()>=CurrentSelf.medSlots(),None,None,None
77,10,76,72,None,,(CurrentShip.medSlots()>=CurrentSelf.medSlots()) AND (CurrentShip.hiSlots()>=CurrentSelf.hiSlots()),None,None,None
80,12,4,73,None,,CurrentShip->medSlots,None,None,None
81,12,4,69,None,,CurrentShip->hiSlots,None,None,None
82,31,8,80,None,,(CurrentShip->medSlots).(ModSub),None,None,None
83,31,8,81,None,,(CurrentShip->hiSlots).(ModSub),None,None,None
84,6,83,69,None,,((CurrentShip->hiSlots).(ModSub)).AddItemModifier (hiSlots),None,None,None
85,6,82,73,None,,((CurrentShip->medSlots).(ModSub)).AddItemModifier (medSlots),None,None,None
86,17,85,84,None,,((CurrentShip->medSlots).(ModSub)).AddItemModifier (medSlots));     (((CurrentShip->hiSlots).(ModSub)).AddItemModifier (hiSlots),None,None,None
89,23,None,None,1,,Bool(1),None,None,None
