SELECT t.groupID, g.groupName, te.typeID, t.typeName, te.effectID, e.effectName, te.isDefault
FROM dgmTypeEffects AS te
LEFT JOIN invTypes AS t USING (typeID)
LEFT JOIN invGroups AS g USING (groupID)
LEFT JOIN dgmEffects AS e using (effectID)
WHERE t.groupID NOT NULL
ORDER BY t.groupID ASC, te.typeID ASC;

"25","Frigate","582","Bantam","509","shipCargoBonusCF","0"
"25","Frigate","582","Bantam","721","miningCapBonus","0"
"25","Frigate","582","Bantam","1171","massFactor","0"
"25","Frigate","582","Bantam","1853","shipMiningBonusCF","0"
"25","Frigate","583","Condor","898","shipMissileKineticDamageCF","0"
"25","Frigate","583","Condor","1171","massFactor","0"
"25","Frigate","583","Condor","1802","shipMissileLightVelocityBonusCF2","0"
"25","Frigate","583","Condor","1803","shipMissileRocketVelocityBonusCF2","0"
"25","Frigate","584","Griffin","1171","massFactor","0"
"25","Frigate","584","Griffin","1996","caldariShipEwCapacitorNeedCF2","0"
"25","Frigate","584","Griffin","2734","shipECMScanStrengthBonusCF","0"
"25","Frigate","585","Slasher","508","shipPDmgBonusMF","0"
"25","Frigate","585","Slasher","1099","shipProjectileTrackingMF2","0"
"25","Frigate","585","Slasher","1171","massFactor","0"
"25","Frigate","586","Probe","458","shipCargoBonusMF","0"
"25","Frigate","586","Probe","1171","massFactor","0"
"25","Frigate","586","Probe","4166","shipBonusScanProbeStrengthMF","0"
"25","Frigate","586","Probe","4597","shipBonusSurveyProbeExplosionDelay3MF","0"
"25","Frigate","587","Rifter","508","shipPDmgBonusMF","0"
"25","Frigate","587","Rifter","1099","shipProjectileTrackingMF2","0"
"25","Frigate","587","Rifter","1171","massFactor","0"
"25","Frigate","589","Executioner","511","shipEnergyTCapNeedBonusAF","0"
"25","Frigate","589","Executioner","514","shipSETDmgBonusAF","0"
"25","Frigate","589","Executioner","1171","massFactor","0"
"25","Frigate","590","Inquisitor","1171","massFactor","0"
"25","Frigate","590","Inquisitor","1202","shipMissileEMDamage2AF","0"
"25","Frigate","590","Inquisitor","1868","shipMissileThermalDamageAF1","0"
"25","Frigate","590","Inquisitor","1869","shipMissileKineticDamageAF1","0"
"25","Frigate","590","Inquisitor","1870","shipMissileExplosiveDamageAF1","0"
"25","Frigate","591","Tormentor","480","shipCargoBonusAF","0"
"25","Frigate","591","Tormentor","721","miningCapBonus","0"
"25","Frigate","591","Tormentor","1171","massFactor","0"
"25","Frigate","591","Tormentor","1852","shipMiningBonusAF","0"
"25","Frigate","592","Navitas","469","shipMiningBonusGF","0"
"25","Frigate","592","Navitas","721","miningCapBonus","0"
"25","Frigate","592","Navitas","1171","massFactor","0"
"25","Frigate","592","Navitas","1854","shipCargoBonusGF","0"
"25","Frigate","593","Tristan","512","shipSHTDmgBonusGF","0"
"25","Frigate","593","Tristan","1171","massFactor","0"
"25","Frigate","593","Tristan","2504","shipBonusHybridTrackingGF2","0"
"25","Frigate","594","Incursus","512","shipSHTDmgBonusGF","0"
"25","Frigate","594","Incursus","1171","massFactor","0"
"25","Frigate","594","Incursus","1773","shipFalloffBonusGF","0"
"25","Frigate","595","Gallente Police Ship","1171","massFactor","0"
"25","Frigate","597","Punisher","511","shipEnergyTCapNeedBonusAF","0"
"25","Frigate","597","Punisher","1171","massFactor","0"
"25","Frigate","597","Punisher","1804","shipArmorEMResistanceAF1","0"
"25","Frigate","597","Punisher","1805","shipArmorTHResistanceAF1","0"
"25","Frigate","597","Punisher","1806","shipArmorKNResistanceAF1","0"
"25","Frigate","597","Punisher","1807","shipArmorEXResistanceAF1","0"
"25","Frigate","598","Breacher","1171","massFactor","0"
"25","Frigate","598","Breacher","1243","shipMissileExplosiveDamageMF1","0"
"25","Frigate","598","Breacher","1865","shipMissileEMDamageMF2","0"
"25","Frigate","598","Breacher","1866","shipMissileThermalDamageMF2","0"
"25","Frigate","598","Breacher","1867","shipMissileKineticDamageMF2","0"
"25","Frigate","599","Burst","459","shipMiningBonusMF","0"
"25","Frigate","599","Burst","721","miningCapBonus","0"
"25","Frigate","599","Burst","1171","massFactor","0"
"25","Frigate","599","Burst","1963","shipCargoBonusMF2","0"
"25","Frigate","600","Minmatar Peacekeeper Ship","1171","massFactor","0"
"25","Frigate","602","Kestrel","898","shipMissileKineticDamageCF","0"
"25","Frigate","602","Kestrel","1171","massFactor","0"
"25","Frigate","602","Kestrel","1862","shipMissileEMDamageCF","0"
"25","Frigate","602","Kestrel","1863","shipMissileThermalDamageCF","0"
"25","Frigate","602","Kestrel","1864","shipMissileExplosiveDamageCF","0"
"25","Frigate","603","Merlin","882","shipHybridRangeBonusCF2","0"
"25","Frigate","603","Merlin","1171","massFactor","0"
"25","Frigate","603","Merlin","1816","shipShieldEMResistanceCF2","0"
"25","Frigate","603","Merlin","1817","shipShieldThermalResistanceCF2","0"
"25","Frigate","603","Merlin","1819","shipShieldKineticResistanceCF2","0"
"25","Frigate","603","Merlin","1820","shipShieldExplosiveResistanceCF2","0"
"25","Frigate","605","Heron","898","shipMissileKineticDamageCF","0"
"25","Frigate","605","Heron","1171","massFactor","0"
"25","Frigate","605","Heron","4165","shipBonusScanProbeStrengthCF","0"
"25","Frigate","605","Heron","4595","shipBonusSurveyProbeExplosionDelay3CF","0"
"25","Frigate","607","Imicus","479","shipDroneRangeBonusGF","0"
"25","Frigate","607","Imicus","1171","massFactor","0"
